desired_x, desired_y, desired_yaw, current_x, current_y, current_yaw
-0.915699,0.00128278,0.0568815,-0.986231,3.45092e-05,0.000232592
-0.898321,0.00193244,0.0660865,-0.986231,3.45092e-05,0.000232592
-0.879616,0.00274686,0.0723274,-0.986231,3.45092e-05,0.000232592
-0.85965,0.00373412,0.0754599,-0.986231,3.45092e-05,0.000232592
-0.83849,0.00490232,0.0757437,-0.986231,3.45092e-05,0.000232592
-0.980527,3.54808e-05,0.00695324,-0.973946,3.94746e-05,0.0017838
-0.970836,7.94832e-05,0.0106439,-0.973946,3.94746e-05,0.0017838
-0.959468,0.00017927,0.0165152,-0.973946,3.94746e-05,0.0017838
-0.946499,0.00035705,0.0253451,-0.973946,3.94746e-05,0.0017838
-0.932,0.000635033,0.0365016,-0.973946,3.94746e-05,0.0017838
-0.916046,0.00103528,0.0480233,-0.973946,3.94746e-05,0.0017838
-0.898707,0.00157337,0.0579595,-0.973946,3.94746e-05,0.0017838
-0.88005,0.00225598,0.0653869,-0.973946,3.94746e-05,0.0017838
-0.86014,0.00308915,0.0702264,-0.973946,3.94746e-05,0.0017838
-0.839046,0.00407889,0.0724527,-0.973946,3.94746e-05,0.0017838
-0.816832,0.00523119,0.0724272,-0.973946,3.94746e-05,0.0017838
-0.97118,6.10953e-05,0.0105331,-0.964265,7.10219e-05,0.00501069
-0.959827,0.000140438,0.0142762,-0.964265,7.10219e-05,0.00501069
-0.946884,0.000240053,0.0154407,-0.964265,7.10219e-05,0.00501069
-0.932432,0.000342954,0.0112602,-0.964265,7.10219e-05,0.00501069
-0.916554,0.000432152,0.00121886,-0.964265,7.10219e-05,0.00501069
-0.899333,0.000490676,-0.012189,-0.964265,7.10219e-05,0.00501069
-0.880846,0.00050301,-0.0262825,-0.964265,7.10219e-05,0.00501069
-0.861159,0.000456299,-0.0392544,-0.964265,7.10219e-05,0.00501069
-0.840339,0.000337968,-0.0504102,-0.964265,7.10219e-05,0.00501069
-0.81845,0.000135443,-0.059144,-0.964265,7.10219e-05,0.00501069
-0.795559,-0.000163844,-0.0654116,-0.964265,7.10219e-05,0.00501069
-0.959766,0.000131983,0.0144754,-0.957626,0.000109843,0.00676925
-0.946772,0.000225022,0.0171343,-0.957626,0.000109843,0.00676925
-0.932236,0.000332802,0.018529,-0.957626,0.000109843,0.00676925
-0.916219,0.000462787,0.0186712,-0.957626,0.000109843,0.00676925
-0.89878,0.000622436,0.0176595,-0.957626,0.000109843,0.00676925
-0.87998,0.000819214,0.0158376,-0.957626,0.000109843,0.00676925
-0.859881,0.00105919,0.0135916,-0.957626,0.000109843,0.00676925
-0.838541,0.00134292,0.0112279,-0.957626,0.000109843,0.00676925
-0.816022,0.00166959,0.00883959,-0.957626,0.000109843,0.00676925
-0.792381,0.0020384,0.00648469,-0.957626,0.000109843,0.00676925
-0.76768,0.00244853,0.00418245,-0.957626,0.000109843,0.00676925
-0.947365,0.000219189,0.0170333,-0.943084,0.000205541,0.00676009
-0.932887,0.00031294,0.0176094,-0.943084,0.000205541,0.00676009
-0.916935,0.00039053,0.0146025,-0.943084,0.000205541,0.00676009
-0.899573,0.000433049,0.00647031,-0.943084,0.000205541,0.00676009
-0.880865,0.000421586,-0.00709048,-0.943084,0.000205541,0.00676009
-0.860876,0.000337231,-0.0235403,-0.943084,0.000205541,0.00676009
-0.839667,0.000162485,-0.0399479,-0.943084,0.000205541,0.00676009
-0.817296,-0.000115239,-0.0541815,-0.943084,0.000205541,0.00676009
-0.793818,-0.000507458,-0.0657502,-0.943084,0.000205541,0.00676009
-0.769288,-0.00102569,-0.0743683,-0.943084,0.000205541,0.00676009
-0.743762,-0.00168146,-0.0801258,-0.943084,0.000205541,0.00676009
-0.93306,0.000313807,0.0177602,-0.934927,0.000265543,0.00712964
-0.917124,0.00039539,0.015477,-0.934927,0.000265543,0.00712964
-0.899787,0.000444424,0.00891486,-0.934927,0.000265543,0.00712964
-0.881116,0.000441503,-0.003045,-0.934927,0.000265543,0.00712964
-0.861175,0.000367222,-0.0192427,-0.934927,0.000265543,0.00712964
-0.84003,0.000202301,-0.0368098,-0.934927,0.000265543,0.00712964
-0.817743,-6.9182e-05,-0.0529601,-0.934927,0.000265543,0.00712964
-0.794371,-0.000459481,-0.066437,-0.934927,0.000265543,0.00712964
-0.769968,-0.000980665,-0.0770153,-0.934927,0.000265543,0.00712964
-0.744593,-0.0016448,-0.0845482,-0.934927,0.000265543,0.00712964
-0.7183,-0.00246391,-0.089521,-0.934927,0.000265543,0.00712964
-0.916944,0.000401203,0.015527,-0.914025,0.000404542,0.00581551
-0.899584,0.000450487,0.00979163,-0.914025,0.000404542,0.00581551
-0.880887,0.000449081,0.000120273,-0.914025,0.000404542,0.00581551
-0.860917,0.000378441,-0.0137196,-0.914025,0.000404542,0.00581551
-0.839737,0.000220022,-0.0302131,-0.914025,0.000404542,0.00581551
-0.817412,-4.44676e-05,-0.0468956,-0.914025,0.000404542,0.00581551
-0.793997,-0.000429325,-0.0614826,-0.914025,0.000404542,0.00581551
-0.769546,-0.00094566,-0.0732383,-0.914025,0.000404542,0.00581551
-0.744111,-0.00160449,-0.0821813,-0.914025,0.000404542,0.00581551
-0.717743,-0.00241685,-0.088405,-0.914025,0.000404542,0.00581551
-0.690494,-0.00339363,-0.0925003,-0.914025,0.000404542,0.00581551
-0.900205,0.000471333,0.0101956,-0.901828,0.000462447,0.00353813
-0.881536,0.000478231,0.00178968,-0.901828,0.000462447,0.00353813
-0.861573,0.000424391,-0.00897962,-0.901828,0.000462447,0.00353813
-0.840363,0.000295247,-0.0214277,-0.901828,0.000462447,0.00353813
-0.817957,7.62281e-05,-0.0346892,-0.901828,0.000462447,0.00353813
-0.794402,-0.000247233,-0.0475168,-0.901828,0.000462447,0.00353813
-0.769747,-0.000688547,-0.0586203,-0.901828,0.000462447,0.00353813
-0.744037,-0.00125712,-0.0672584,-0.901828,0.000462447,0.00353813
-0.717315,-0.00196149,-0.0736745,-0.901828,0.000462447,0.00353813
-0.689627,-0.0028102,-0.0782164,-0.901828,0.000462447,0.00353813
-0.661017,-0.0038118,-0.0813069,-0.901828,0.000462447,0.00353813
-0.881646,0.000493485,0.00182708,-0.87646,0.00049448,-0.000599933
-0.861688,0.000444995,-0.00854108,-0.87646,0.00049448,-0.000599933
